index,used,title,channel,date,url,context,keyword
0,0,[P의 거짓] 개발자 어디 사냐?,껨조TV,2023-06-09,https://www.youtube.com/watch?v=xw0syWyslGE,p의거짓 #liesofp ☞ 채널 문의 : tete0727@naver.com.,코딩테스트
1,0,비개발자 신입사원의 IT회사 첫 출근 브이로그,코아IN [코아인],2023-06-09,https://www.youtube.com/watch?v=eiDfec6q2kE,개발자가 아닌 사람이 IT회사에 입사하게 되었습니다. 처음 겪어보는 IT회사 업무 분위기.. 조PD 신입사원의 첫 출근 브이로그입니다.,코딩테스트
2,0,나이트워커] 개발자님 소리지르는 마야 삭제좀.... 실황 4일차 (서버 마야),도그홀,2023-06-09,https://www.youtube.com/watch?v=Tqd_8lrJY74,도그홀 #던파모바일 #나이트워커 ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ *맴버십가입: ...,코딩테스트
3,1,"[개발자 글로벌 커리어 컨퍼런스] 주니어 개발자, 독일 스타트업에서 살아남기",F-Lab,2023-06-09,https://www.youtube.com/watch?v=74kXwElfgMI,F-Lab 수료생 이민경님의 발표 영상입니다.,코딩테스트
4,1,"[개발자 글로벌 커리어 컨퍼런스] 대한 개발자, 영국기업에서 살아남기",F-Lab,2023-06-09,https://www.youtube.com/watch?v=YKdiWeaV9BM,F-Lab 안드로이드 멘토 Liam님의 발표 영상입니다.,코딩테스트
5,0,[기흥프로그래밍학원] 자바:JAVA 한번 알아볼까요? 백엔드 개발자 과정!,두드림컴퓨터아카데미,2023-06-09,https://www.youtube.com/watch?v=ZSiMtzmPAFc,,코딩테스트
6,0,진심 개발자 어디사는 누구일까? (ALTF42 마지막화),햇또루,2023-06-09,https://www.youtube.com/watch?v=jDv3sYkSxFo,altf42 #게임 #햇또루 안녕하세요. 햇또루입니다. 영상 기다려주신 여러분들 감사드립니다. 부족한 점이 있으면 댓글로 말씀해주세요!,코딩테스트
7,0,"최강 최적화 기법: 하모니 서치 (Harmonic Search), 개발자 직강 (6/9)",SEM LAB TV,2023-06-09,https://www.youtube.com/watch?v=5ghwMgFoHBk,김중훈 #하모니서치 #최적화 #고려대.,코딩테스트
8,0,"최강 최적화 기법: 하모니 서치 (Harmonic Search), 개발자 직강 (1/9)",SEM LAB TV,2023-06-09,https://www.youtube.com/watch?v=HOGILKNegZ8,김중훈 #하모니서치 #최적화 #고려대.,코딩테스트
9,0,"최강 최적화 기법: 하모니 서치 (Harmonic Search), 개발자 직강 (2/9)",SEM LAB TV,2023-06-09,https://www.youtube.com/watch?v=aRcWZx7Vpy0,김중훈 #하모니서치 #최적화 #고려대.,코딩테스트
10,0,"최강 최적화 기법: 하모니 서치 (Harmonic Search), 개발자 직강 (4/9)",SEM LAB TV,2023-06-09,https://www.youtube.com/watch?v=R9YjJOvgCsk,김중훈 #하모니서치 #최적화 #고려대.,코딩테스트
11,1,Data+AI World Tour 2023 한국 이벤트 - House 개발자 트랙ㅣ세션 3,Databricks Korea,2023-06-09,https://www.youtube.com/watch?v=RsVJjeE-5K0,"Data+AI World Tour 2023 한국 이벤트 - House 개발자 트랙ㅣ세션 3 Spark Connect로 어디서든 쉽게 원격으로 PySpark 사용하기, ...",코딩테스트
12,0,개발자의 긍정 - 마지막 출근,Commonerd,2023-06-08,https://www.youtube.com/watch?v=al7I5mYIrX8,,코딩테스트
13,0,VLOG 직장인 브이로그 | 대기업 개발자 일상 | 다이어트 마음(만).. | 의사 동생과 주말 신촌 카페 | 노앙 | 네일아트 | 귀여운 강아지 | 아빠 맞춤정장 | 용인 카페,반우림VANURIM,2023-06-08,https://www.youtube.com/watch?v=3e6Rc8i09F8,1 VLOG 안녕하세요. 2023 5月 말 ~ 6月 초의 일상을 담은 첫 브이로그 입니다. 앞으로 매주 영상을 올리며 추억들을 기록할 예정 ...,코딩테스트
14,0,보트/PE 플라스틱 부력통으로 보트 만들기 /보트개발자 박진열,JINYEOL PARK,2023-06-08,https://www.youtube.com/watch?v=DPsRs4n1DbE,공장 울산 울주군 온양읍 용당내광로 361-14 지엔 대표 박진열 0102852-6072 https://band.us/n/a1a982uaw5Q1S ...,코딩테스트
15,0,보트/pe보트300모델에 대하여/보트개발자 박진열,JINYEOL PARK,2023-06-08,https://www.youtube.com/watch?v=oyriucSX9xo,공장 울산 울주군 온양읍 용당내광로 361-14 지엔 대표 박진열 0102852-6072 https://band.us/n/a1a982uaw5Q1S ...,코딩테스트
16,0,디지털노마드 개발자 - 노마드개발자란 뭘까?,프리노마드,2023-06-08,https://www.youtube.com/watch?v=MKljuhLEpCQ,디지털노마드 개발자 - 노마드개발자란 뭘까?,코딩테스트
17,0,지방대 비전공자가 배달의민족 리드 개발자가 되기까지ㅣ동기부여ㅣ꾸준함 ㅣ마인드셋,나를 이기는 채널,2023-06-08,https://www.youtube.com/watch?v=9lQaDvD_3Ac,shorts 현재 커리어와 성장에 대한 고민을 하고 계신 분들 무언가 새로운 도전을 망설이고 계신 분들에게 영상 추천드립니다.,코딩테스트
